時刻(μs),絶対方位(x),絶対方位(y),絶対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),磁場強度(x),磁場強度(y),磁場強度(z),加速度(x),加速度(y),加速度(z),重力加速度(x),重力加速度(y),重力加速度(z),温度(℃),Sys,Gyro,Accel,Mag

"10942
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.00
","4.88
","10.00
","12.50
","-4.14
","4.67
","-7.52
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"11177
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","-0.00
","0.00
","0.00
","0.02
","6.00
","-0.06
","-0.06
","-4.13
","4.68
","-2.41
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"11415
","97.00
","-24.94
","-148.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.01
","5.56
","-0.06
","-0.06
","-4.14
","4.66
","-7.52
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"11650
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","-0.01
","6.00
","-0.06
","-0.06
","-4.13
","4.67
","-2.45
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"11887
","97.00
","-24.94
","-4.19
","0.00
","-0.00
","0.00
","0.01
","-0.01
","-0.01
","5.56
","-0.06
","-0.06
","-4.14
","4.65
","-2.43
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"12122
","97.00
","-24.94
","-4.19
","0.00
","0.00
","-0.01
","0.00
","0.00
","0.01
","5.56
","10.00
","13.25
","-4.14
","4.66
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"12357
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.00
","0.00
","0.03
","4.88
","-0.06
","-0.06
","-4.14
","4.67
","-7.52
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"12591
","97.00
","-24.94
","-4.19
","-0.00
","-0.00
","0.00
","0.00
","0.00
","0.03
","4.88
","10.00
","12.50
","-4.13
","4.66
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"12824
","97.00
","-24.94
","-148.19
","-0.00
","0.00
","0.00
","0.00
","0.00
","0.01
","5.56
","9.56
","12.50
","-4.12
","4.66
","-2.40
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"13058
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","-0.00
","0.00
","0.00
","0.03
","5.56
","-0.06
","-0.06
","-4.14
","4.67
","-2.40
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"13291
","97.00
","-24.94
","-4.19
","0.01
","-0.00
","-0.00
","0.00
","-0.01
","0.00
","5.56
","9.56
","12.50
","-4.11
","4.68
","-7.55
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"13524
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","-0.01
","0.01
","5.25
","9.56
","12.06
","-4.14
","4.67
","-2.43
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"13758
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.03
","0.01
","0.01
","5.25
","-0.06
","-0.06
","-4.10
","4.69
","-2.42
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"13991
","97.00
","-24.94
","-4.19
","0.00
","0.00
","-0.00
","0.01
","0.00
","-0.01
","5.25
","9.25
","13.25
","-4.12
","4.68
","-7.57
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"14226
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.01
","0.00
","0.02
","5.56
","10.00
","12.88
","-4.12
","4.68
","-2.41
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"14460
","97.00
","-24.94
","-148.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.00
","6.00
","10.00
","13.25
","-4.14
","4.70
","-7.54
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"14694
","97.00
","-24.94
","-148.19
","-0.00
","0.00
","0.00
","-0.01
","0.00
","0.01
","5.25
","10.00
","12.50
","-4.14
","4.67
","-2.42
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"14928
","97.00
","-24.94
","-4.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.02
","4.88
","-0.06
","-0.06
","-4.12
","4.67
","-7.54
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"15163
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.00
","0.00
","0.00
","5.25
","10.75
","12.50
","-4.11
","4.70
","-2.41
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"15399
","97.00
","-24.94
","-4.19
","0.00
","-0.00
","-0.00
","0.00
","0.00
","0.03
","5.56
","-0.06
","-0.06
","-4.12
","4.66
","-7.55
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"15636
","97.00
","-24.94
","-148.19
","-0.00
","-0.00
","0.00
","0.00
","0.00
","0.00
","4.88
","9.56
","-0.06
","-4.14
","4.68
","-2.43
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"15872
","97.00
","-24.94
","-4.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.03
","4.50
","-0.06
","-0.06
","-4.12
","4.67
","-2.40
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"16106
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.01
","0.00
","0.03
","5.56
","-0.06
","-0.06
","-4.12
","4.67
","-7.55
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"16344
","97.00
","-24.94
","-148.19
","-0.00
","-0.00
","0.01
","0.01
","0.00
","0.01
","5.56
","10.75
","11.69
","-4.12
","4.70
","-2.43
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"16580
","97.00
","-24.94
","-4.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.02
","5.25
","-0.06
","-0.06
","-4.12
","4.68
","-7.55
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"16817
","97.00
","-24.94
","-4.19
","0.00
","-0.00
","-0.00
","0.00
","0.00
","-0.01
","5.56
","-0.06
","-0.06
","-4.13
","4.68
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"17051
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.02
","5.25
","-0.06
","-0.06
","-4.14
","4.67
","-7.53
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"17290
","97.00
","-24.94
","-4.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.01
","5.56
","-0.06
","-0.06
","-4.13
","4.68
","-2.42
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"17523
","97.00
","-24.94
","-148.19
","0.00
","0.00
","0.00
","0.00
","0.01
","0.01
","4.88
","10.00
","12.88
","-4.13
","4.65
","-7.54
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"17761
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.02
","5.25
","-0.06
","-0.06
","-4.13
","4.68
","-2.41
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"17995
","97.00
","-24.94
","-4.19
","-0.00
","-0.00
","0.00
","0.01
","0.00
","0.02
","5.25
","10.00
","11.69
","-4.14
","4.68
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"18229
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","-0.02
","0.00
","5.25
","10.75
","12.50
","-4.14
","4.65
","-2.43
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"18462
","97.00
","-24.94
","-148.19
","0.00
","0.00
","0.00
","0.00
","-0.01
","-0.01
","5.25
","10.75
","13.69
","-4.12
","4.67
","-7.54
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"18697
","97.00
","-24.94
","-4.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.03
","5.25
","10.38
","-0.06
","-4.13
","4.67
","-7.52
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"18930
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.00
","0.00
","0.02
","5.25
","10.00
","11.69
","-4.11
","4.68
","-2.43
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"19164
","97.00
","-24.94
","-4.19
","0.00
","0.00
","0.00
","0.00
","0.00
","0.02
","5.56
","10.00
","12.50
","-4.12
","4.68
","-7.52
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"19396
","97.00
","-24.94
","-148.19
","0.00
","0.00
","-0.00
","0.00
","-0.01
","0.02
","5.25
","10.38
","11.69
","-4.13
","4.66
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"19630
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.00
","-0.01
","0.02
","4.88
","10.00
","12.50
","-4.13
","4.66
","-2.41
","-4.13
","4.67
","-2.44
","30
","0
","3
","1
","0
"

"19862
","97.00
","-24.94
","-4.19
","0.00
","0.00
","-0.00
","0.00
","0.00
","0.01
","5.56
","10.38
","11.69
","-4.13
","4.66
","-7.55
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"20096
","97.00
","-24.94
","-148.19
","0.00
","0.00
","0.00
","0.00
","0.01
","0.00
","5.25
","10.00
","12.06
","-4.14
","4.65
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"20329
","97.00
","-24.94
","-148.19
","-0.00
","-0.00
","0.00
","0.00
","-0.01
","-0.01
","5.25
","10.38
","11.69
","-4.14
","4.66
","-2.43
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"20562
","97.00
","-24.94
","-4.19
","-0.01
","0.00
","0.01
","0.00
","0.00
","0.03
","5.25
","-0.06
","-0.06
","-4.12
","4.66
","-7.52
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"20795
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","0.00
","0.00
","-0.01
","0.01
","6.00
","11.06
","12.06
","-4.13
","4.66
","-7.53
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

"21029
","97.00
","-24.94
","-148.19
","0.00
","-0.00
","-0.00
","0.00
","0.00
","0.03
","5.25
","10.00
","12.06
","-4.13
","4.64
","-7.56
","-4.13
","4.67
","-7.56
","30
","0
","3
","1
","0
"

